"modelName","serialNumber","inspectionDate","hoursPerWeek","hourMeterReading","TrackLinkInstalledDate","TrackLinkWornValueLeft","TrackLinkWornValueRight"
"D6TXW","SKL00358","2017-05-05","40","15058","""2011-05-09T00:00:00Z""","20","18"
"D8T","FMC00366","2017-06-15T10:58:37-0500","40","1330","""2016-01-01T00:00:00Z""","7",""
"963D","LCS01949","2017-06-05T18:27:36-0500","40","4242","""2014-06-03T00:00:00-0500""","86","90"
"D9T","RJS01644","2017-02-22T00:00:00Z","40","35314","""2016-02-01T00:00:00+0800""","78","69"
"D5KLGP","KY200858","2017-02-07T10:42:11-0500","40","607","""2016-04-29T00:00:00-0400""","4","4"
"336DL","WRK00248","2018-02-13","40","10886","""""","66","80"
"319DLN","WBJ00316","2018-03-12","40","10615","""2016-10-14""","18","18"
"D5KIILGP","KYY00192","2017-12-19","40","4367.4","""""","6","9"
"329E","PLW00000","2017-07-11T00:00:00Z","40","","""2017-05-24T00:00:00Z""","70","77"
"D9T","RJS01737","2017-09-21","40","","""""","52","50"
"D10T","RJG00621","2017-08-16T00:00:00Z","100","54745","""2014-11-11T00:00:00Z""","61","59"
"D11T","GEB00852","2018-01-16","140","22560","""2016-03-07T00:00:00Z""","48","51"
"D5GXL","FDH00982","2018-02-23","40","2323","""""","47","69"
"D11R","7PZ01566","2018-05-17","125","46765","""""","63","58"
"D5KIILGP","KYY01602","2017-08-09","40","2836","""2017-07-17T00:00:00Z""","34","34"
"D10R","3KR00749","2017-02-23T00:00:00Z","40","14859.9","""2017-02-01T00:00:00-0600""","90","77"
"D10T","RJG00377","2018-03-05","40","24029","""""","46",""
"336DL","J2F01007","2017-06-08T17:37:28+0200","40","","""2012-02-06T00:00:00Z""","24","20"
"D8RII","6YZ00394","2018-03-02","40","20250","""2011-02-16""","56","63"
"345BL","4SS01437","2017-05-17T14:55:57-0600","40","10669","""2017-05-17T00:00:00Z""","2","2"
"320E","WBK02910","2018-03-16","40","3247","""""","18","14"
"328DLCR","RMX00573","2017-11-29T17:08:01-0500","40","5506","""2013-05-27T00:00:00Z""","42","42"
